type,sentence
singular, [wug]?
singular," [wug], there."
singular,The [wug] from over there.
singular, [wug] over there.
singular, [wug] near the fence.
singular, [wug] around the chair.
singular,Do you see the [wug] near the fence?
singular,I walked past the [wug] along the path.
singular,I found the [wug] under the lamp.
singular,I stood beside the [wug] by the gate.
singular,I looked for the [wug] around the chair.
singular,I noticed the [wug] in the corner by the lamp.
singular,I pointed to the [wug] behind the chair near the wall.
singular,I found the [wug] near the pond by the tree.
singular,Do you see the [wug] by the fence near the gate?
plural, [wugs].
plural, [wugs]!
plural, [wugs] here.
plural,The [wugs] from over here.
plural, [wugs] by the rock.
plural, [wugs] behind the tree.
plural,Look at the [wugs] by the rock.
plural,I noticed the [wugs] behind the tree.
plural,I pointed to the [wugs] in the corner.
plural,I watched the [wugs] from a distance.
plural,I moved toward the [wugs] near the pond.
plural,Look at the [wugs] near the rock by the fence.
plural,I walked past the [wugs] near the gate by the path.
plural,I watched the [wugs] under the lamp by the door.
plural,I moved toward the [wugs] around the chair by the rock.
